                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7507,                 5.5029,                 2.6322,                    0.2,                   0.43,                0.18755,                0.05578,                 2.7006,                 5.8845,                 2.5587,              0.0005552,              0.0005552,              0.0005552
                      2,                 2.1296,                 2.9022,                 1.8428,                0.28881,                0.68833,                 0.2812,                0.11956,                 1.9883,                 3.0631,                 1.9224,              0.0010999,              0.0010999,              0.0010999
                      3,                 1.8085,                 1.9048,                 1.5306,                0.63713,                0.55667,                0.58641,                0.25776,                 1.9099,                 1.9373,                 1.7163,              0.0016335,              0.0016335,              0.0016335
                      4,                 1.7273,                 1.4899,                 1.4837,                0.21568,                  0.595,                0.26258,                0.12767,                 1.6438,                 3.4482,                 1.5543,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6427,                 1.3193,                 1.4076,                0.56549,                0.75702,                0.63303,                0.35291,                 1.4434,                 1.6841,                 1.4424,               0.001601,               0.001601,               0.001601
                      6,                 1.5606,                 1.2323,                  1.331,                0.31785,                  0.665,                0.29789,                0.14615,                 1.8879,                 3.9417,                 1.7229,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4911,                 1.0931,                 1.3003,                0.46016,                0.87087,                0.47582,                0.25931,                 1.4654,                 2.6239,                 1.4511,               0.001568,               0.001568,               0.001568
                      8,                 1.5097,                 1.1013,                 1.3049,                0.66236,                0.78167,                0.67937,                0.38397,                 1.5207,                 1.4029,                 1.4414,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4676,                 1.0271,                 1.2807,                 0.5466,                0.90667,                0.57311,                0.32722,                 1.3308,                  2.003,                 1.3058,               0.001535,               0.001535,               0.001535
                     10,                 1.3476,                0.92473,                 1.2006,                0.75041,                0.93204,                0.78509,                0.47502,                 1.3187,                 1.2574,                 1.2765,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3537,                0.87917,                 1.2123,                0.73064,                0.93667,                0.78587,                0.48463,                  1.327,                  1.243,                 1.2645,               0.001502,               0.001502,               0.001502
                     12,                  1.335,                0.86584,                  1.188,                0.68986,                0.94333,                0.71278,                0.43716,                 1.2294,                 1.4018,                 1.2281,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3104,                0.88634,                 1.1734,                0.75377,                0.92858,                0.78357,                0.49829,                 1.1598,                 1.0872,                 1.1833,               0.001469,               0.001469,               0.001469
                     14,                 1.2774,                 0.8483,                 1.1403,                0.74901,                  0.905,                0.77035,                0.48978,                 1.1693,                 1.3053,                 1.1921,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2844,                0.82813,                 1.1788,                0.66551,                  0.935,                0.70428,                0.43415,                 1.2052,                 1.4943,                 1.2146,               0.001436,               0.001436,               0.001436
                     16,                 1.2477,                0.82232,                 1.1419,                0.72073,                0.95667,                0.75386,                0.48812,                 1.1263,                 1.3781,                 1.1499,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2406,                0.80417,                 1.1185,                0.72087,                0.86833,                0.73737,                0.43518,                 1.3482,                 1.4241,                 1.2953,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1853,                0.78338,                 1.0862,                0.84486,                0.87333,                0.87705,                 0.5173,                 1.3106,                 1.0611,                 1.2472,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1796,                0.77034,                 1.0833,                0.84386,                0.96333,                0.87292,                0.56696,                 1.1423,                0.99094,                 1.1666,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1644,                0.74351,                 1.0981,                0.89724,                0.97333,                0.91786,                0.58696,                 1.1169,                0.94435,                 1.1347,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1642,                0.74333,                  1.072,                 0.9002,                0.97712,                0.93736,                0.62138,                 1.1053,                0.97103,                 1.1259,              0.0013369,              0.0013369,              0.0013369
